
2024/12/12 (13:22:40) | ===> btop++ v.1.4.0
2024/12/12 (13:22:40) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/12 (13:22:40) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/14 (14:34:45) | ===> btop++ v.1.4.0
2024/12/14 (14:34:45) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/14 (14:34:45) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/14 (14:56:49) | ===> btop++ v.1.4.0
2024/12/14 (14:56:49) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/14 (14:56:49) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/14 (14:59:55) | ===> btop++ v.1.4.0
2024/12/14 (14:59:55) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/14 (14:59:55) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/14 (15:01:06) | ===> btop++ v.1.4.0
2024/12/14 (15:01:06) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/14 (15:01:06) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/14 (15:34:10) | ===> btop++ v.1.4.0
2024/12/14 (15:34:10) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/14 (15:34:10) | WARNING: ROCm SMI: Failed to get PCIe throughput
